Match,Type,Time,Red1,Red1IsSurrogate,Red2,Red2IsSurrogate,Red3,Red3IsSurrogate,Blue1,Blue1IsSurrogate,Blue2,Blue2IsSurrogate,Blue3,Blue3IsSurrogate
1,qualification,2023-03-27 18:00:00 -0400 EDT,2056,false,6859,false,5672,false,8089,false,8349,false,3161,false
2,qualification,2023-03-27 18:06:00 -0400 EDT,6978,false,2706,false,5719,false,8729,false,6864,false,7022,false
3,qualification,2023-03-27 18:12:00 -0400 EDT,7603,false,2200,false,4976,false,1325,false,1374,false,1305,false
4,qualification,2023-03-27 18:18:00 -0400 EDT,7558,false,2609,false,5834,false,1114,false,781,false,865,false
5,qualification,2023-03-27 18:24:00 -0400 EDT,4917,false,2708,false,2852,false,7476,false,5031,false,772,false
6,qualification,2023-03-27 18:30:00 -0400 EDT,9263,false,7659,false,8731,false,3543,false,4039,false,771,false
7,qualification,2023-03-27 18:36:00 -0400 EDT,4678,false,4152,false,5409,false,4343,false,1310,false,4951,false
8,qualification,2023-03-27 18:42:00 -0400 EDT,9098,false,8850,false,5870,false,7712,false,2935,false,3683,false
9,qualification,2023-03-27 18:48:00 -0400 EDT,8081,false,3756,false,610,false,2013,false,1285,false,5885,false
10,qualification,2023-03-27 18:54:00 -0400 EDT,9113,false,7690,false,7480,false,1241,false,5036,false,7475,false
11,qualification,2023-03-27 19:00:00 -0400 EDT,6397,false,5406,false,4920,false,4946,false,4907,false,9127,false
12,qualification,2023-03-27 19:06:00 -0400 EDT,3739,false,2702,false,6141,false,4476,false,5032,false,9062,false
13,qualification,2023-03-27 19:12:00 -0400 EDT,1360,false,6987,false,8764,false,5024,false,6514,false,7757,false
14,qualification,2023-03-27 19:18:00 -0400 EDT,5596,false,4951,false,865,false,4069,false,4976,false,3161,false
15,qualification,2023-03-27 19:24:00 -0400 EDT,6859,false,1325,false,3683,false,781,false,2706,false,4343,false
16,qualification,2023-03-27 19:30:00 -0400 EDT,610,false,4152,false,8089,false,8081,false,771,false,2609,false
17,qualification,2023-03-27 19:36:00 -0400 EDT,2852,false,8349,false,1310,false,5036,false,1305,false,5870,false
18,qualification,2023-03-27 19:42:00 -0400 EDT,6978,false,4907,false,5406,false,1114,false,9098,false,2708,false
19,qualification,2023-03-27 19:48:00 -0400 EDT,5032,false,772,false,5719,false,9263,false,4920,false,9113,false
20,qualification,2023-03-27 19:54:00 -0400 EDT,4039,false,5834,false,4946,false,5024,false,8729,false,5885,false
21,qualification,2023-03-27 20:00:00 -0400 EDT,1374,false,7022,false,7476,false,1360,false,1285,false,6141,false
22,qualification,2023-03-27 20:06:00 -0400 EDT,7712,false,3739,false,7558,false,5672,false,3756,false,4069,false
23,qualification,2023-03-27 20:12:00 -0400 EDT,4476,false,7475,false,6397,false,8731,false,8850,false,5596,false
24,qualification,2023-03-27 20:18:00 -0400 EDT,9062,false,9127,false,6514,false,2056,false,5409,false,2200,false
25,qualification,2023-03-27 20:24:00 -0400 EDT,3543,false,7603,false,7480,false,2013,false,6987,false,2935,false
26,qualification,2023-03-27 20:30:00 -0400 EDT,4678,false,4917,false,7659,false,8764,false,7690,false,1241,false
27,qualification,2023-03-27 20:36:00 -0400 EDT,6864,false,5031,false,1310,false,7757,false,2702,false,6859,false
28,qualification,2023-03-27 20:42:00 -0400 EDT,5870,false,5719,false,4039,false,3161,false,2609,false,7476,false
29,qualification,2023-03-27 20:48:00 -0400 EDT,5036,false,771,false,3756,false,5024,false,772,false,5406,false
30,qualification,2023-03-27 20:54:00 -0400 EDT,8729,false,7475,false,3683,false,8349,false,1285,false,4907,false
31,qualification,2023-03-27 21:00:00 -0400 EDT,4069,false,2200,false,1360,false,2852,false,4152,false,5885,false
32,qualification,2023-03-27 21:06:00 -0400 EDT,4476,false,4976,false,2013,false,4920,false,1114,false,7022,false
33,qualification,2023-03-27 21:12:00 -0400 EDT,9062,false,781,false,8081,false,8731,false,6978,false,7712,false
34,qualification,2023-03-27 21:18:00 -0400 EDT,4678,false,1325,false,3739,false,6514,false,9113,false,5596,false
35,qualification,2023-03-27 21:24:00 -0400 EDT,5672,false,3543,false,4951,false,1374,false,4917,false,610,false
36,qualification,2023-03-27 21:30:00 -0400 EDT,9263,false,7757,false,8850,false,7480,false,1241,false,7558,false
37,qualification,2023-03-27 21:36:00 -0400 EDT,5409,false,8089,false,4946,false,5031,false,2702,false,7603,false
38,qualification,2023-03-27 21:42:00 -0400 EDT,6141,false,6864,false,6987,false,7690,false,9127,false,7659,false
39,qualification,2023-03-27 21:48:00 -0400 EDT,2056,false,4343,false,9098,false,5834,false,2706,false,6397,false
40,qualification,2023-03-27 21:54:00 -0400 EDT,2708,false,865,false,1305,false,8764,false,2935,false,5032,false
41,qualification,2023-03-27 22:00:00 -0400 EDT,7022,false,3161,false,2200,false,3683,false,3756,false,4678,false
42,qualification,2023-03-27 22:06:00 -0400 EDT,4069,false,8731,false,2609,false,5024,false,4920,false,6859,false
43,qualification,2023-03-27 22:12:00 -0400 EDT,1285,false,4976,false,771,false,8850,false,7558,false,9062,false
44,qualification,2023-03-27 22:18:00 -0400 EDT,5031,false,1360,false,4476,false,5036,false,7603,false,9263,false
45,qualification,2023-03-27 22:24:00 -0400 EDT,6978,false,1241,false,1325,false,2852,false,4946,false,610,false
46,qualification,2023-03-27 22:30:00 -0400 EDT,5596,false,4152,false,4039,false,2056,false,6864,false,4907,false
47,qualification,2023-03-27 22:36:00 -0400 EDT,781,false,4917,false,9113,false,2013,false,6397,false,865,false
48,qualification,2023-03-27 22:42:00 -0400 EDT,5672,false,5032,false,6987,false,5409,false,8729,false,9098,false
49,qualification,2023-03-27 22:48:00 -0400 EDT,7757,false,9127,false,4951,false,5885,false,1114,false,7476,false
50,qualification,2023-03-27 22:54:00 -0400 EDT,5406,false,2706,false,2702,false,6514,false,7475,false,2935,false
51,qualification,2023-03-27 23:00:00 -0400 EDT,4343,false,1305,false,8089,false,772,false,7659,false,7712,false
52,qualification,2023-03-27 23:06:00 -0400 EDT,2708,false,1374,false,5719,false,3739,false,5870,false,7690,false
53,qualification,2023-03-27 23:12:00 -0400 EDT,8081,false,7480,false,5834,false,8349,false,6141,false,8764,false
54,qualification,2023-03-27 23:18:00 -0400 EDT,3543,false,3161,false,4946,false,1310,false,4976,false,1360,false
55,qualification,2023-03-27 23:24:00 -0400 EDT,4920,false,8729,false,1241,false,6397,false,7558,false,4152,false
56,qualification,2023-03-27 23:30:00 -0400 EDT,9127,false,1114,false,6987,false,771,false,1325,false,4917,false
