Number,Name,Nickname,City,StateProv,Country,RookieYear,RobotName,HasConnected
610,"Crescent School/Doc-Chef Culinary Enterprise/Heliolytics/Telus/Taplytics/Extrude-A-Trim&Crescent School","Crescent Coyotes","Toronto","Ontario","Canada",2001,"",false
771,"Collins Aerospace Systems/Hatch/Shaw Almex&St. Mildred's Lightbourn School","SWAT","Oakville","Ontario","Canada",2002,"",false
772,"General Motors of Canada/Centerline Windsor Ltd./SWT Group/St Clair College/University of Windsor/Tregaskiss/SMSH - Special High Skills Major/Novelletto /LaSalle Police Youth Foundation/Malden Dental /Seven Lakes Championship Golf&Sandwich Secondary School","Sabre Bytes Robotics","LaSalle","Ontario","Canada",2002,"",false
781,"Bruce Power/Kinetic Knights Youth Robotics&Family/Community","Kinetic Knights","Kincardine","Ontario","Canada",2002,"",false
865,"Toronto District School Board/Motorola Solutions Foundation/The Optimist Club of Etobicoke/AFA Systems Ltd./Google/Bissell/Landcare/WARP7 Parents & Supporters&Western Technical-Commercial School","WARP7","Toronto","Ontario","Canada",2002,"",false
1114,"General Motors/Ontario Power Generation/FIRST Canada/Vykan/Johnson & Johnson/Embark&Governor Simcoe Secondary School","Simbotics","St Catharines","Ontario","Canada",2003,"",false
1241,"General Motors/Pratt & Whitney Canada/Johnston Industrial Plastics Limited/CSC/Zerox/DBG Canada Limited/Symcor/Rev Creations/Rakla Tires/Click N Print/Trans Canada/99Cent Depot/Dreams Convention Center/Studica/City of Mississauga/Peel District School Board&Rick Hansen S.S","THEORY6","Mississauga","Ontario","Canada",2004,"",false
1285,"Pratt & Whittney/GM Canada/Johnston Industrial Plastics/Studica/CSC/Tanknology/Zerox/DBG Canada Limited/Symcor/Rev Creations/Rakla Tires/Click N Print/99Cent Depot/City of Mississauga/Peel District School Board&Rick hansen S.S","The Big Bang","Mississauga","Ontario","Canada",2004,"",false
1305,"Canadore College/Nipissing University/PEO North Bay Chapter/Near North District School Board/General Motors/Enbridge Gas&Near North Student Robotics Initiative","Ice Cubed","North Bay","Ontario","Canada",2004,"",false
1310,"Toronto District School Board/Runnymede CI/Optimist International /Govan Brown/Ridout & Maybee/Century Studios/Thales&Runnymede Collegiate Institute","Runnymede Robotics","Etobicoke","Ontario","Canada",2004,"",false
1325,"Pacline Overhead Conveyors/Actemium/Yamana Gold Inc./MHI Canada Aerospace/General Motors/Hatch/Amazon/Weston Forest Products/MindShare Workspace/Sable Metal Manufacturing/Agora Manufacturing/Nye Manufacturing/Thompson Centres/IMAX/Westburne/Royal Bank of Canada&Family/Community","Inverse Paradox","Mississauga","Ontario","Canada",2004,"",false
1360,"Gyptech/TC Energy/Studica/Ford Motor Company/Desjardins Foundation/Pratt & Whitney Canada/Rockwell Automation/Magna/Woodbridge Foam Corporation/Town of Oakville/Oakville Community Foundation&Oakville Community FIRST Robotics","Orbit Robotics","Oakville","Ontario","Canada",2004,"",false
1374,"Halton District School Board - Technological Education (HDSB TE)/Hatch/Sinn Development&OAKVILLE TRAFALGAR HIGH SCHOOL","Amped Up","Oakville","Ontario","Canada",2004,"",false
2013,"Linear Automation/MPC | Molded Precision Components/Weld Experts/Stainless Outfitters/Osborn Model Kits/Black Controls/JT's Powersports/Parks Composites/Maiden Family Auto Care/Creemore Foodland/New Lowell Legion, The Stayner Lions and the Rotary Club of Wasaga Beach./Inzane planet/Clearview Township&Family/Community","Cybergnomes","New Lowell","Ontario","Canada",2007,"",false
2056,"ArcelorMittal Dofasco/GM/HWDSB&Orchard Park Secondary School","OP Robotics","Stoney Creek","Ontario","Canada",2007,"",false
2200,"Arcelor Mittal Dofasco Hamilton/Almex Group/Shape Process Automation/Wera Tools/Pratt and Whitney Canada/Burlington Auto Works/Custom Paint & Silk Screen Inc./Studica Canada/Full Fusion Welding/Pacsys /Advent Tech /Irving Consumer&M.M. Robinson High School","MMRambotics","Burlington","Ontario","Canada",2007,"",false
2609,"Synnex/Linamar Corporation/Michelin/Wellington Catholic School Board&Our Lady of Lourdes CHS","BeaverworX","Guelph","Ontario","Canada",2008,"",false
2702,"Google/Region of Waterloo/Novatek Welding & Fabrication&Kitchener Waterloo Youth Robotics","Rebels","Waterloo","Ontario","Canada",2009,"",false
2706,"General Dynamics Mission Systems Canada/Apple/MVS Remote Video Systems Inc./Collins Aerospace/Enbridge Gas/Northern Lights Educational Services/SolidWorks/Ottawa West Community Robotics & Neighborhood Group","Merge Robotics","Ottawa","Ontario","Canada",2009,"",false
