team,year,offseason,name,state,country,district,is_competing,epa_start,epa_pre_champs,epa_end,epa_mean,epa_max,epa_diff,auto_epa_start,auto_epa_pre_champs,auto_epa_end,auto_epa_mean,auto_epa_max,teleop_epa_start,teleop_epa_pre_champs,teleop_epa_end,teleop_epa_mean,teleop_epa_max,endgame_epa_start,endgame_epa_pre_champs,endgame_epa_end,endgame_epa_mean,endgame_epa_max,rp_1_epa_start,rp_1_epa_pre_champs,rp_1_epa_end,rp_1_epa_mean,rp_1_epa_max,rp_2_epa_start,rp_2_epa_pre_champs,rp_2_epa_end,rp_2_epa_mean,rp_2_epa_max,unitless_epa_end,norm_epa_end,wins,losses,ties,count,winrate,full_wins,full_losses,full_ties,full_count,full_winrate,total_epa_rank,total_epa_percentile,total_team_count,country_epa_rank,country_epa_percentile,country_team_count,state_epa_rank,state_epa_percentile,state_team_count,district_epa_rank,district_epa_percentile,district_team_count
1114,2023,False,Simbotics,ON,Canada,ont,True,36.99,58.96,58.96,50.6,59.24,21.97,10.26,14.48,14.48,12.72,14.57,17.2,34.12,34.12,28.35,34.98,9.53,10.35,10.35,9.52,10.68,-0.0076,0.6551,0.6551,0.2204,0.6551,0.2412,0.7,0.7,0.5408,0.7,1802.0,,28,7,0,35,0.8,28,7,0,35,0.8,47,0.9858,3305,4,0.9785,186,4,0.968,125,4,0.968,125
4039,2023,False,MakeShift Robotics,ON,Canada,ont,False,35.34,56.46,56.46,54.63,61.35,21.12,9.81,15.14,15.14,14.62,17.31,16.43,34.73,34.73,30.49,36.19,9.1,6.59,6.59,9.52,11.87,-0.0216,0.3125,0.3125,0.156,0.3245,0.2273,0.3799,0.3799,0.484,0.6283,1781.0,,28,8,0,36,0.7778,28,8,0,36,0.7778,64,0.9806,3305,5,0.9731,186,5,0.96,125,5,0.96,125
3683,2023,False,Team DAVE,ON,Canada,ont,True,35.83,66.16,66.16,64.2,68.33,30.33,9.94,16.78,16.78,16.27,19.01,16.66,40.27,40.27,39.66,44.52,9.23,9.11,9.11,8.27,9.43,-0.0175,0.7778,0.7778,0.599,0.789,0.2314,0.5334,0.5334,0.4825,0.583,1864.0,,30,5,0,35,0.8571,30,5,0,35,0.8571,12,0.9964,3305,2,0.9892,186,2,0.984,125,2,0.984,125
7558,2023,False,ALT-F4,ON,Canada,ont,False,28.27,49.13,49.13,38.51,49.13,20.86,7.85,13.94,13.94,11.26,13.94,13.15,24.14,24.14,19.36,25.76,7.28,11.05,11.05,7.88,11.42,-0.0818,-0.082,-0.082,-0.063,-0.032,0.1671,0.4734,0.4734,0.2976,0.4852,1719.0,,26,8,0,34,0.7647,26,8,0,34,0.7647,169,0.9489,3305,11,0.9409,186,11,0.912,125,11,0.912,125
1305,2023,False,Ice Cubed,ON,Canada,ont,True,27.3,40.71,40.71,38.65,45.39,13.41,7.58,15.72,15.72,12.77,16.33,12.69,17.18,17.18,18.63,22.67,7.03,7.81,7.81,7.25,9.06,-0.0901,0.0812,0.0812,-0.011,0.1229,0.1588,0.3856,0.3856,0.3181,0.4524,1647.0,,28,8,0,36,0.7778,28,8,0,36,0.7778,425,0.8714,3305,25,0.8656,186,24,0.808,125,24,0.808,125
1325,2023,False,Inverse Paradox,ON,Canada,ont,False,35.08,48.04,48.04,46.13,51.0,12.96,9.73,10.04,10.04,11.35,14.78,16.31,29.27,29.27,26.61,29.32,9.04,8.73,8.73,8.17,9.12,-0.0239,0.0268,0.0268,-0.03,0.0268,0.225,0.2895,0.2895,0.2748,0.3666,1709.0,,26,11,0,37,0.7027,26,11,0,37,0.7027,196,0.9407,3305,12,0.9355,186,12,0.904,125,12,0.904,125
610,2023,False,Crescent Coyotes,ON,Canada,ont,True,28.81,51.58,51.58,41.87,51.66,22.77,8.0,17.39,17.39,13.64,18.08,13.4,26.34,26.34,20.96,27.65,7.42,7.85,7.85,7.28,9.27,-0.0772,0.2773,0.2773,0.0561,0.2954,0.1717,0.3869,0.3869,0.3075,0.413,1740.0,,26,8,0,34,0.7647,26,8,0,34,0.7647,119,0.964,3305,6,0.9677,186,6,0.952,125,6,0.952,125
4476,2023,False,W.A.F.F.L.E.S.,ON,Canada,ont,False,32.87,50.45,50.45,39.37,50.45,17.58,9.12,17.85,17.85,13.46,17.85,15.28,24.4,24.4,17.44,24.4,8.47,8.19,8.19,8.48,10.04,-0.0427,0.0189,0.0189,0.0491,0.094,0.2062,0.5143,0.5143,0.4271,0.5903,1730.0,,26,5,0,31,0.8387,26,5,0,31,0.8387,146,0.9558,3305,7,0.9624,186,7,0.944,125,7,0.944,125
9098,2023,False,Firehawks,ON,Canada,ont,True,17.56,41.09,41.09,32.51,41.3,23.53,4.87,10.8,10.8,7.68,10.8,8.17,19.62,19.62,17.28,23.11,4.52,10.67,10.67,7.54,10.67,-0.173,0.2571,0.2571,0.0387,0.2571,0.0759,0.3512,0.3512,0.2336,0.3512,1650.0,,21,12,0,33,0.6364,21,12,0,33,0.6364,418,0.8735,3305,23,0.8763,186,22,0.824,125,22,0.824,125
4152,2023,False,Hoya Robotics,ON,Canada,ont,True,27.64,45.38,45.38,38.81,45.38,17.74,7.67,14.36,14.36,12.26,14.5,12.85,22.86,22.86,18.24,22.89,7.12,8.16,8.16,8.31,10.42,-0.0872,0.0103,0.0103,-0.0448,0.0278,0.1617,0.335,0.335,0.3206,0.4759,1687.0,,22,11,0,33,0.6667,22,11,0,33,0.6667,269,0.9186,3305,16,0.914,186,16,0.872,125,16,0.872,125
