Match,Red1,Red2,Red3,Blue1,Blue2,Blue3,redScore,blueScore,redWin,redRP,blueRP
1,2056,6859,5672,8089,8349,3161,107.44000000000001,92.93,True,2.9358,1.188
2,6978,2706,5719,8729,6864,7022,98.68,61.83,True,2.265,0.22079999999999997
3,7603,2200,4976,1325,1374,1305,116.65,115.28,True,3.2663,0.9598999999999999
4,7558,2609,5834,1114,781,865,116.33,117.47999999999999,False,0.9934999999999999,3.6854000000000005
5,4917,2708,2852,7476,5031,772,94.88000000000001,64.91,True,3.0313,-0.15469999999999995
6,9263,7659,8731,3543,4039,771,47.510000000000005,87.63000000000001,False,-0.26,2.5922
7,4678,4152,5409,4343,1310,4951,150.32999999999998,79.23,True,3.7011000000000003,0.21899999999999997
8,9098,8850,5870,7712,2935,3683,75.76,119.32,False,0.5596,3.1895000000000002
9,8081,3756,610,2013,1285,5885,102.58,105.5,False,0.9927000000000001,3.2508
10,9113,7690,7480,1241,5036,7475,74.17,97.58000000000001,False,0.26519999999999994,2.7512
11,6397,5406,4920,4946,4907,9127,89.19,91.7,False,1.0119,2.3047
12,3739,2702,6141,4476,5032,9062,84.16,95.04,False,0.9446000000000001,2.9669
13,1360,6987,8764,5024,6514,7757,65.21000000000001,87.74,False,-0.20900000000000002,2.7273
14,5596,4951,865,4069,4976,3161,57.28,141.6,False,0.00660000000000005,4.2684
15,6859,1325,3683,781,2706,4343,125.75999999999999,94.71000000000001,True,3.5251,0.128
16,610,4152,8089,8081,771,2609,117.44000000000001,92.32,True,3.3316,0.6833
17,2852,8349,1310,5036,1305,5870,82.63,87.83000000000001,False,0.4068,2.5722
18,6978,4907,5406,1114,9098,2708,130.68,131.49,False,1.6930999999999998,4.2788
19,5032,772,5719,9263,4920,9113,72.22,62.8,True,2.3718,0.37959999999999994
20,4039,5834,4946,5024,8729,5885,110.62,90.32,True,2.636,0.8363999999999998
21,1374,7022,7476,1360,1285,6141,63.519999999999996,81.44999999999999,False,0.13420000000000004,2.8344
22,7712,3739,7558,5672,3756,4069,108.1,72.89,True,2.605,0.6803
23,4476,7475,6397,8731,8850,5596,88.09,37.3,True,2.6113,-0.6977
24,9062,9127,6514,2056,5409,2200,44.83,169.79000000000002,False,-0.2892,4.2324
25,3543,7603,7480,2013,6987,2935,74.36,86.97999999999999,False,0.46209999999999996,2.5365
26,4678,4917,7659,8764,7690,1241,121.65,102.37,True,3.4363,0.34980000000000006
27,6864,5031,1310,7757,2702,6859,84.57,69.19,True,2.2759,0.3641
28,5870,5719,4039,3161,2609,7476,100.49000000000001,116.21,False,0.7856000000000001,3.141
29,5036,771,3756,5024,772,5406,46.7,104.52,False,-0.23739999999999994,3.3693999999999997
30,8729,7475,3683,8349,1285,4907,116.88,111.35,True,3.5578000000000003,1.3367
31,4069,2200,1360,2852,4152,5885,113.22999999999999,89.13,True,3.2208,0.5840000000000001
32,4476,4976,2013,4920,1114,7022,143.45999999999998,108.96,True,3.7397,1.8806999999999998
33,9062,781,8081,8731,6978,7712,79.02,74.36,True,2.5103,-0.3215
34,4678,1325,3739,6514,9113,5596,140.62,47.650000000000006,True,3.4858000000000002,-0.13899999999999996
35,5672,3543,4951,1374,4917,610,52.290000000000006,121.74,False,0.06979999999999997,3.5403000000000002
36,9263,7757,8850,7480,1241,7558,54.73,128.57,False,-0.028799999999999992,3.3257000000000003
37,5409,8089,4946,5031,2702,7603,98.42,78.1,True,2.928,0.33719999999999994
38,6141,6864,6987,7690,9127,7659,55.11,57.94,False,0.07799999999999996,1.6214
39,2056,4343,9098,5834,2706,6397,146.16000000000003,73.77000000000001,True,3.5850999999999997,0.03410000000000002
40,2708,865,1305,8764,2935,5032,103.06,80.83,True,2.9568000000000003,0.3419
41,7022,3161,2200,3683,3756,4678,112.99000000000001,139.56,False,1.4414,4.0243
42,4069,8731,2609,5024,4920,6859,98.92,85.96000000000001,True,3.0393,0.7523000000000001
43,1285,4976,771,8850,7558,9062,97.14,75.06,True,3.1151,0.23309999999999997
44,5031,1360,4476,5036,7603,9263,99.80000000000001,63.120000000000005,True,2.6048,-0.026800000000000157
45,6978,1241,1325,2852,4946,610,132.65,104.36,True,3.1938,0.6141
46,5596,4152,4039,2056,6864,4907,115.98,148.35000000000002,False,0.8320000000000001,3.7404
47,781,4917,9113,2013,6397,865,82.24000000000001,86.28,False,0.9465,2.5464
48,5672,5032,6987,5409,8729,9098,65.49000000000001,111.43,False,0.2319,3.3647
49,7757,9127,4951,5885,1114,7476,44.94,103.28,False,-0.06109999999999999,3.3331999999999997
50,5406,2706,2702,6514,7475,2935,117.21,74.65,True,3.1258,0.2889999999999999
51,4343,1305,8089,772,7659,7712,88.0,64.41,True,2.6527,-0.15240000000000004
52,2708,1374,5719,3739,5870,7690,79.43,86.58,False,0.4198,2.5399000000000003
53,8081,7480,5834,8349,6141,8764,90.53,64.06,True,2.5946,0.09930000000000005
