team,RP,win,loss
2056,41.2686,11,1
4976,38.4758,11,1
3683,38.1051,9,3
1114,36.7884,8,4
4069,36.7624,10,2
5409,36.5649,10,2
4678,35.1239,10,2
2609,33.4397,9,3
3161,31.5296,8,4
610,31.012399999999992,9,3
2013,30.905700000000003,9,3
2200,30.5589,9,3
3739,30.509,9,3
1325,29.876,10,2
4476,29.173399999999997,9,3
4152,29.057,9,3
4917,28.8651,8,4
9098,27.754399999999997,7,5
7558,27.7282,9,3
1305,27.515100000000004,8,4
1241,26.314600000000006,7,5
4907,25.826999999999998,7,5
4039,25.4772,7,5
2852,24.3268,8,4
5406,23.711599999999997,5,7
5024,23.6766,6,6
5834,23.447599999999998,7,5
4946,23.023999999999994,7,5
5885,22.226799999999994,6,6
8089,22.197799999999997,6,6
1310,22.1545,7,5
5031,22.065899999999996,8,4
1285,22.0414,6,6
781,22.003,6,6
4920,21.305099999999996,5,7
4343,21.2963,7,5
7475,21.2059,6,6
8729,21.0789,6,6
5032,21.044200000000004,6,6
865,20.943900000000006,7,5
6141,20.922299999999996,5,7
1360,20.857900000000004,6,6
2708,20.626099999999997,5,7
1374,20.586000000000002,6,6
7480,20.4152,6,6
6397,19.6316,6,6
6864,18.9067,7,5
8081,18.841,5,7
7659,18.671,7,5
2935,18.634,6,6
2706,18.3464,6,6
7690,18.088,7,5
7757,17.7111,5,7
5870,17.100799999999996,5,7
7712,16.0966,6,6
772,16.0022,5,7
2702,15.9285,4,8
5719,15.671399999999998,5,7
7022,14.658999999999999,3,9
6987,14.3918,4,8
5036,14.2959,5,7
3756,14.234300000000001,3,9
6978,14.1097,4,8
9263,13.049000000000003,4,8
5596,12.393700000000003,5,7
9062,12.263600000000002,3,9
6859,11.7705,2,10
6514,11.675400000000002,4,8
7476,11.070799999999998,4,8
5672,10.467,3,9
3543,9.951500000000001,2,10
771,9.7768,3,9
8349,9.6837,2,10
4951,9.4875,2,10
9127,8.659,4,8
8850,8.4933,3,9
8764,7.922700000000001,2,10
8731,6.816299999999999,2,10
9113,6.627599999999999,1,11
7603,5.8474,1,11
