team,predicted_rank,mean_rank,5th_percentile,95th_percentile
3683,1,2.1,1,4
2056,2,2.2,1,4
1114,3,2.6,1,5
4678,4,8.8,3,19
4039,5,9.8,4,22
3161,6,10.8,4,24
4976,7,11.3,4,24
610,8,11.8,4,25
4907,9,12.5,4,26
5406,10,13.9,4,28
1241,11,14.7,4,29
5409,12,15.7,5,31
4917,13,15.7,5,31
4476,14,15.7,5,31
4069,15,16.0,5,31
2609,16,16.9,6,33
9098,17,19.4,6,37
2200,18,19.8,7,37
7558,19,19.9,7,37
1285,20,22.1,8,40
2013,21,22.4,7,42
5024,22,22.4,7,42
1325,23,22.4,9,40
1305,24,23.8,8,42
4152,25,23.7,9,42
1310,26,28.5,11,50
3739,27,28.7,12,48
8081,28,30.6,14,53
4920,29,33.4,15,56
5032,30,33.4,16,54
6978,31,33.8,16,57
2706,32,35.2,16,57
2702,33,35.9,16,60
2708,34,36.2,17,60
7480,35,36.2,17,60
865,36,40.5,19,64
781,37,43.7,23,68
8089,38,44.4,22,68
1374,39,44.6,23,68
7757,40,44.9,22,69
5885,41,45.2,23,69
2935,42,45.8,25,69
7475,43,46.1,25,68
4946,44,47.8,26,72
5870,45,48.1,28,71
8729,46,49.7,28,72
1360,47,50.9,28,73
3543,48,51.2,28,73
7690,49,51.1,30,73
6141,50,51.5,29,74
8349,51,52.1,29,74
5031,52,52.1,30,74
7022,53,52.5,29,73
7603,54,54.4,32,75
772,55,54.8,31,75
5036,56,54.7,32,76
5834,57,55.0,31,76
4343,58,55.5,32,76
6514,59,56.2,33,76
7659,60,57.1,34,77
2852,61,57.5,35,76
5719,62,59.0,36,77
9263,63,59.4,37,77
6864,64,60.0,36,77
9062,65,60.2,37,77
7712,66,60.6,37,78
8764,67,60.6,38,78
9113,68,61.3,38,77
6987,69,61.7,36,78
3756,70,62.2,38,78
4951,71,62.6,40,78
5672,72,62.7,40,78
7476,73,65.4,41,80
6397,74,66.3,44,79
6859,75,67.0,44,80
5596,76,68.5,46,80
8850,77,69.6,49,80
771,78,71.5,52,80
8731,79,72.0,54,80
9127,80,74.1,58,80
